date,open,high,low,close,volume,Name
2/8/2013,40.09,40.61,40.07,40.52,1146224,TEL
2/11/2013,40.49,40.56,40.27,40.44,1056745,TEL
2/12/2013,40.44,40.69,40.37,40.49,876110,TEL
2/13/2013,40.58,40.99,40.54,40.92,1426745,TEL
2/14/2013,40.62,41.09,40.46,41.08,2091112,TEL
2/15/2013,41.08,41.29,40.75,41.03,1533139,TEL
2/19/2013,41,41.45,40.94,41.3,1284082,TEL
2/20/2013,41.21,41.395,40.94,40.96,1529626,TEL
2/21/2013,40.76,40.78,40.29,40.48,2257420,TEL
2/22/2013,40.68,41.25,40.36,41.01,2214739,TEL
2/25/2013,41.15,41.17,39.69,39.69,2207382,TEL
2/26/2013,40,40.08,39.34,39.8,2438297,TEL
2/27/2013,39.62,40.21,39.4501,40,1689118,TEL
2/28/2013,39.98,40.32,39.8,40.13,1769936,TEL
3/1/2013,39.96,40.44,39.56,40.23,1333410,TEL
3/4/2013,40.14,40.51,39.98,40.45,1359369,TEL
3/5/2013,40.67,41.09,40.67,40.83,1372337,TEL
3/6/2013,40.99,41.54,40.86,41.44,1377934,TEL
3/7/2013,41.57,41.71,41.41,41.49,1361761,TEL
3/8/2013,41.67,42.25,41.51,42.22,1510963,TEL
3/11/2013,42.08,42.195,41.88,42.05,1404806,TEL
3/12/2013,42.05,42.225,41.67,42.09,1688812,TEL
3/13/2013,42.14,42.21,41.85,41.92,1462976,TEL
3/14/2013,42.01,42.6,42.01,42.54,1480823,TEL
3/15/2013,42.28,42.42,41.56,41.83,2457215,TEL
3/18/2013,41.35,41.99,41.25,41.63,1079742,TEL
3/19/2013,41.77,41.84,41.26,41.65,1332816,TEL
3/20/2013,42,42.16,41.72,42.11,1258441,TEL
3/21/2013,41.7,41.96,41.37,41.56,1545592,TEL
3/22/2013,41.76,41.87,41.54,41.82,1179104,TEL
3/25/2013,41.96,42.27,41.275,41.54,1429747,TEL
3/26/2013,41.69,41.87,41.6,41.68,1262801,TEL
3/27/2013,41.47,41.78,41.31,41.61,1871125,TEL
3/28/2013,41.69,41.99,41.57,41.93,1747620,TEL
4/1/2013,41.94,41.99,41.4,41.6,1096914,TEL
4/2/2013,41.81,41.95,41.26,41.46,1391849,TEL
4/3/2013,41.6,41.99,41.22,41.33,1619090,TEL
4/4/2013,41.54,41.89,41.17,41.41,1465917,TEL
4/5/2013,40.86,41.24,40.58,41.14,1699371,TEL
4/8/2013,41.09,41.29,41.07,41.27,1299819,TEL
4/9/2013,41.35,41.53,41.19,41.41,974680,TEL
4/10/2013,41.15,41.94,40.89,41.76,2126972,TEL
4/11/2013,41.68,42.21,41.58,42.02,1752649,TEL
4/12/2013,41.91,41.99,41.42,41.61,1751353,TEL
4/15/2013,41.48,41.5,40.34,40.34,1684055,TEL
4/16/2013,40.64,41.4,40.52,41.37,1423556,TEL
4/17/2013,40.9,40.99,39.45,39.73,2452118,TEL
4/18/2013,39.79,39.89,38.79,39.11,2430952,TEL
4/19/2013,39.23,39.44,38.75,39.38,1419776,TEL
4/22/2013,39.41,39.73,39.09,39.55,1648340,TEL
4/23/2013,39.68,40.5,39.68,40.5,1655553,TEL
4/24/2013,40.75,42.26,40.75,42.16,2289920,TEL
4/25/2013,42.32,43.2,42.2801,42.91,2047314,TEL
4/26/2013,42.95,42.95,42.26,42.43,1794624,TEL
4/29/2013,42.41,42.93,42.41,42.91,1258959,TEL
4/30/2013,42.83,43.62,42.49,43.55,2312783,TEL
5/1/2013,43.27,43.5,42.68,42.72,1624717,TEL
5/2/2013,43.05,43.6,42.82,43.49,1445035,TEL
5/3/2013,43.79,44.75,43.67,44.44,1966747,TEL
5/6/2013,44.08,44.96,44.08,44.88,1174709,TEL
5/7/2013,44.9,45.23,44.68,44.73,1664931,TEL
5/8/2013,44.67,45.08,44.44,44.9,2304891,TEL
5/9/2013,44.91,44.9775,44.34,44.5,2052006,TEL
5/10/2013,44.52,44.74,44.38,44.49,1547634,TEL
5/13/2013,44.46,44.5,44.31,44.35,1404940,TEL
5/14/2013,44.3,44.94,44.24,44.93,1417684,TEL
5/15/2013,44.73,45.4,44.6,45.27,1164904,TEL
5/16/2013,45.23,45.705,45.18,45.32,1208067,TEL
5/17/2013,45.34,46.02,45.33,45.99,1774762,TEL
5/20/2013,45.72,46.44,45.68,46.09,1661618,TEL
5/21/2013,46.17,46.21,45.77,45.96,1331847,TEL
5/22/2013,46.13,46.46,45.24,45.5,1855074,TEL
5/23/2013,45.19,45.84,45.08,45.56,1469987,TEL
5/24/2013,45.26,45.43,44.8,45.28,865880,TEL
5/28/2013,45.54,45.855,45.35,45.37,1653660,TEL
5/29/2013,44.84,45.11,44.6,44.61,1974061,TEL
5/30/2013,44.73,45.61,44.71,45.15,1580301,TEL
5/31/2013,45.02,45.52,44.39,44.39,2200960,TEL
6/3/2013,44.55,45.155,44.33,44.99,1709571,TEL
6/4/2013,44.98,45.35,44.57,44.83,1495635,TEL
6/5/2013,44.63,44.74,44.126,44.45,1732433,TEL
6/6/2013,44.49,44.67,43.88,44.45,1475083,TEL
6/7/2013,44.62,45.69,44.62,45.53,1673407,TEL
6/10/2013,45.65,45.74,45.12,45.2,1198065,TEL
6/11/2013,44.67,45.15,44.42,44.89,1521313,TEL
6/12/2013,45.23,45.36,44.62,44.7,1523838,TEL
6/13/2013,44.67,45.74,44.49,45.62,867175,TEL
6/14/2013,45.68,45.88,45.29,45.42,1021047,TEL
6/17/2013,45.69,46.355,45.6,46.17,1308628,TEL
6/18/2013,46.11,46.89,46.08,46.87,1118154,TEL
6/19/2013,46.86,46.86,45.815,45.97,1638608,TEL
6/20/2013,45.5,45.6,44.67,44.77,1885216,TEL
6/21/2013,45.14,45.66,44.76,45.61,3003456,TEL
6/24/2013,45.15,45.18,44.02,44.09,2233216,TEL
6/25/2013,45.08,45.36,44.58,45.23,1278228,TEL
6/26/2013,45.71,45.75,45.33,45.42,1533714,TEL
6/27/2013,45.73,46.1,45.72,45.74,1355365,TEL
6/28/2013,45.61,45.9,45.19,45.54,1467998,TEL
7/1/2013,45.8,46.62,45.8,46.41,1451704,TEL
7/2/2013,46.22,46.526,45.93,46.2,1377958,TEL
7/3/2013,45.96,46.37,45.77,46.27,985522,TEL
7/5/2013,46.69,46.82,46.36,46.7,1498380,TEL
7/8/2013,46.95,47.13,46.49,46.56,1776011,TEL
7/9/2013,46.9,47.14,46.445,46.57,1898249,TEL
7/10/2013,46.5,46.85,46.48,46.7,2205469,TEL
7/11/2013,47.5,47.5,46.78,47.09,1485522,TEL
7/12/2013,47.05,47.57,46.96,47.46,1115095,TEL
7/15/2013,47.45,47.705,47.28,47.28,1253365,TEL
7/16/2013,47.39,47.43,46.97,47.19,2089850,TEL
7/17/2013,47.52,48.11,47.37,47.81,1512838,TEL
7/18/2013,47.74,47.99,47.38,47.8,1236972,TEL
7/19/2013,47.76,47.82,47.58,47.77,2003370,TEL
7/22/2013,47.86,48.12,47.82,48.1,1054640,TEL
7/23/2013,48.17,48.17,47.83,47.95,1876874,TEL
7/24/2013,48.29,50.9,48.29,50.76,5074276,TEL
7/25/2013,50.76,51.36,50.52,50.7,2840497,TEL
7/26/2013,50.54,50.86,50.32,50.52,1726229,TEL
7/29/2013,50.23,50.71,50.23,50.35,1562907,TEL
7/30/2013,50.5,50.71,50.37,50.43,1313465,TEL
7/31/2013,50.58,51.46,50.36,51.04,1878084,TEL
8/1/2013,51.48,51.61,51.19,51.52,1275777,TEL
8/2/2013,51.36,51.635,51.28,51.51,1634053,TEL
8/5/2013,51.45,51.606,51.35,51.5,1306273,TEL
8/6/2013,51.43,51.55,51.19,51.35,1718636,TEL
8/7/2013,51.08,51.18,50.67,50.71,1819430,TEL
