,ENGINESIZE,CYLINDERS,FUELCONSUMPTION_COMB,CO2EMISSIONS
0,2.0,4,8.5,196
1,2.4,4,9.6,221
2,1.5,4,5.9,136
3,3.5,6,11.1,255
4,3.5,6,10.6,244
5,3.5,6,10.0,230
6,3.5,6,10.1,232
7,3.7,6,11.1,255
8,3.7,6,11.6,267
9,2.4,4,9.2,212
10,2.4,4,9.8,225
11,3.5,6,10.4,239
12,5.9,12,15.6,359
13,5.9,12,15.6,359
14,4.7,8,14.7,338
15,4.7,8,15.4,354
16,4.7,8,14.7,338
17,4.7,8,15.4,354
18,5.9,12,15.6,359
19,2.0,4,8.8,202
20,2.0,4,10.0,230
21,2.0,4,9.3,214
22,2.0,4,10.0,230
23,2.0,4,10.0,230
24,2.0,4,9.3,214
25,2.0,4,10.2,235
26,3.0,6,10.9,251
27,3.0,6,8.3,224
28,3.0,6,11.2,258
29,3.0,6,8.3,224
30,3.0,6,11.2,258
31,4.0,8,11.3,260
32,3.0,6,8.4,227
33,3.0,6,11.2,258
34,4.0,8,12.5,288
35,6.3,12,15.7,361
36,3.0,6,8.5,230
37,2.0,4,10.5,242
38,2.0,4,10.4,239
39,3.0,6,11.2,258
40,2.0,4,9.2,212
41,3.0,6,9.1,246
42,3.0,6,13.2,304
43,3.0,6,10.9,294
44,4.2,8,14.6,336
45,4.2,8,17.7,407
46,5.2,10,15.4,354
47,5.2,10,17.8,409
48,4.2,8,14.6,336
49,4.2,8,17.7,407
50,5.2,10,15.4,354
51,5.2,10,17.8,409
52,4.2,8,13.3,306
53,4.2,8,13.4,308
54,4.0,8,12.6,290
55,3.0,6,11.4,262
56,3.0,6,12.4,285
57,3.0,6,11.4,262
58,3.0,6,12.4,285
59,3.0,6,11.6,267
60,4.0,8,12.2,281
61,4.0,8,12.2,281
62,4.0,8,12.9,297
63,3.0,6,12.7,292
64,2.0,4,9.1,209
65,2.0,4,9.1,209
66,2.0,4,10.3,237
67,2.0,4,10.3,237
68,4.0,8,12.9,297
69,6.0,12,15.5,356
70,4.0,8,13.9,320
71,6.0,12,16.5,380
72,4.0,8,14.0,322
73,6.0,12,16.5,380
74,6.0,12,16.5,380
75,6.8,8,19.0,437
76,2.0,4,8.4,193
77,2.0,4,8.7,200
78,2.0,4,8.8,202
79,2.0,4,6.7,181
80,2.0,4,6.7,181
81,2.0,4,8.4,193
82,2.0,4,8.7,200
83,2.0,4,9.1,209
84,2.0,4,9.1,209
85,2.0,4,9.1,209
86,3.0,6,9.6,221
87,3.0,6,10.0,230
88,3.0,6,9.9,228
89,3.0,6,10.3,237
90,3.0,6,10.1,232
91,2.0,4,8.4,193
92,2.0,4,8.7,200
93,2.0,4,9.1,209
94,3.0,6,9.6,221
95,3.0,6,10.0,230
96,3.0,6,9.9,228
97,3.0,6,10.3,237
98,2.0,4,8.8,202
99,2.0,4,9.1,209
100,3.0,6,7.9,213
101,3.0,6,10.1,232
102,3.0,6,10.7,246
103,4.4,8,12.2,281
104,4.4,8,12.7,292
105,3.0,6,10.1,232
106,4.4,8,12.7,292
107,4.4,8,12.2,281
108,4.4,8,12.7,292
109,3.0,6,10.7,246
110,4.4,8,12.7,292
111,4.4,8,12.7,292
112,6.0,12,15.5,356
113,3.0,6,8.3,191
114,3.0,6,9.3,214
115,3.0,6,9.2,212
116,4.4,8,12.7,292
117,4.4,8,12.7,292
118,4.4,8,14.7,338
119,4.4,8,13.8,317
120,4.4,8,14.7,338
121,4.4,8,13.8,317
122,4.4,8,14.7,338
123,4.4,8,13.8,317
124,4.4,8,14.7,338
125,4.4,8,13.8,317
126,2.0,4,9.1,209
127,3.0,6,11.3,260
128,2.0,4,10.0,230
129,3.0,6,11.0,253
130,3.0,6,11.1,255
131,4.4,8,13.9,320
132,4.4,8,16.1,370
133,3.0,6,11.9,274
134,4.4,8,14.1,324
135,2.0,4,9.1,209
136,2.0,4,8.7,200
137,3.0,6,12.1,278
138,3.0,6,11.0,253
139,3.0,6,12.1,278
140,3.6,6,12.3,283
141,3.6,6,12.6,290
142,1.4,4,8.5,196
143,1.4,4,9.2,212
144,3.6,6,11.5,264
145,3.6,6,15.6,250
146,3.6,6,11.5,264
147,3.6,6,16.5,264
148,2.4,4,8.2,189
149,2.0,4,9.9,228
150,2.0,4,9.8,225
151,2.0,4,10.7,246
152,2.4,4,8.2,189
153,2.0,4,9.9,228
154,2.0,4,9.8,225
155,2.4,4,9.5,218
156,2.0,4,9.6,221
157,2.0,4,10.2,235
158,2.5,4,9.0,207
159,3.6,6,10.9,251
160,2.0,4,10.1,232
161,3.6,6,11.3,260
162,3.6,6,11.2,258
163,3.6,6,11.4,262
164,2.0,4,10.1,232
165,3.6,6,10.8,248
166,2.0,4,10.8,248
167,3.6,6,11.3,260
